trait_name,is_active,type,isdefault
Tasteful,Y,Positive,0
Teacherly,Y,Positive,0
Thorough,Y,Positive,0
Tidy,Y,Positive,0
Tolerant,Y,Positive,0
Tractable,Y,Positive,0
Trusting,Y,Positive,0
Uncomplaining,Y,Positive,0
Understanding,Y,Positive,0
Good Looking,Y,Positive,1
Trustworthy,Y,Positive,1
Undogmatic,Y,Positive,0
Unfoolable,Y,Positive,0
Upright,Y,Positive,0
Urbane,Y,Positive,0
Smart,Y,Positive,1
Successful,Y,Positive,1
Venturesome,Y,Positive,0
Vivacious,Y,Positive,0
Warm,Y,Positive,0
Well-bred,Y,Positive,0
Well-read,Y,Positive,0
Well-rounded,Y,Positive,0
Winning,Y,Positive,0
Wise,Y,Positive,0
Witty,Y,Positive,0
Youthful,Y,Positive,0
 Absentminded,Y,Neutral,0
 Aggressive,Y,Neutral,0
 Ambitious,Y,Neutral,0
 Amusing,Y,Neutral,0
 Artful,Y,Neutral,0
 Ascetic,Y,Neutral,0
 Authoritarian,Y,Neutral,0
 Big-thinking,Y,Neutral,0
 Boyish,Y,Neutral,0
 Breezy,Y,Neutral,0
 Businesslike,Y,Neutral,0
 Busy,Y,Neutral,0
 Casual,Y,Neutral,0
 Crebral,Y,Neutral,0
 Chummy,Y,Neutral,0
 Circumspect,Y,Neutral,0
 Competitive,Y,Neutral,0
 Complex,Y,Neutral,0
 Confidential,Y,Neutral,0
 Conservative,Y,Neutral,0
 Contradictory,Y,Neutral,0
 Crisp,Y,Neutral,0
 Cute,Y,Neutral,0
 Deceptive,Y,Neutral,0
 Determined,Y,Neutral,0
 Dominating,Y,Neutral,0
 Dreamy,Y,Neutral,0
 Driving,Y,Neutral,0
 Droll,Y,Neutral,0
 Dry,Y,Neutral,0
 Earthy,Y,Neutral,0
 Effeminate,Y,Neutral,0
 Emotional,Y,Neutral,0
 Enigmatic,Y,Neutral,0
 Experimental,Y,Neutral,0
 Familial,Y,Neutral,0
 Folksy,Y,Neutral,0
 Formal,Y,Neutral,0
 Freewheeling,Y,Neutral,0
 Frugal,Y,Neutral,0
 Glamorous,Y,Neutral,0
 Guileless,Y,Neutral,0
 High-spirited,Y,Neutral,0
 Huried,Y,Neutral,0
 Hypnotic,Y,Neutral,0
 Iconoclastic,Y,Neutral,0
 Idiosyncratic,Y,Neutral,0
 Impassive,Y,Neutral,0
 Impersonal,Y,Neutral,0
 Impressionable,Y,Neutral,0
 Intense,Y,Neutral,0
 Invisible,Y,Neutral,0
 Irreligious,Y,Neutral,0
 Irreverent,Y,Neutral,0
 Maternal,Y,Neutral,0
 Mellow,Y,Neutral,0
 Modern,Y,Neutral,0
 Moralistic,Y,Neutral,0
 Mystical,Y,Neutral,0
 Neutral,Y,Neutral,0
 Noncommittal,Y,Neutral,0
 Noncompetitive,Y,Neutral,0
 Obedient,Y,Neutral,0
 Old-fashined,Y,Neutral,0
 Ordinary,Y,Neutral,0
 Outspoken,Y,Neutral,0
 Paternalistic,Y,Neutral,0
 Physical,Y,Neutral,0
 Placid,Y,Neutral,0
 Political,Y,Neutral,0
 Predictable,Y,Neutral,0
 Preoccupied,Y,Neutral,0
 Private,Y,Neutral,0
 Progressive,Y,Neutral,0
 Proud,Y,Neutral,0
 Pure,Y,Neutral,0
 Questioning,Y,Neutral,0
 Quiet,Y,Neutral,1
 Religious,Y,Neutral,0
 Reserved,Y,Neutral,0
 Restrained,Y,Neutral,0
 Retiring,Y,Neutral,0
 Sarcastic,Y,Neutral,0
 Self-conscious,Y,Neutral,0
 Sensual,Y,Neutral,0
 Skeptical,Y,Neutral,0
 Smooth,Y,Neutral,0
 Soft,Y,Neutral,0
 Solemn,Y,Neutral,0
 Solitary,Y,Neutral,0
 Stern,Y,Neutral,0
 Stoiid,Y,Neutral,0
 Strict,Y,Neutral,0
 Stubborn,Y,Neutral,0
 Stylish,Y,Neutral,0
 Subjective,Y,Neutral,0
 Surprising,Y,Neutral,0
 Soft,Y,Neutral,0
 Tough,Y,Neutral,0
 Unaggressive,Y,Neutral,0
 Unambitious,Y,Neutral,0
 Unceremonious,Y,Neutral,0
 Unchanging,Y,Neutral,0
 Undemanding,Y,Neutral,0
 Unfathomable,Y,Neutral,0
 Unhurried,Y,Neutral,0
 Uninhibited,Y,Neutral,0
 Unpatriotic,Y,Neutral,0
 Unpredicatable,Y,Neutral,0
 Unreligious,Y,Neutral,0
 Unsentimental,Y,Neutral,0
 Whimsical,Y,Neutral,0
